               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,            0.019447,           0.0069982,          0.00088782,             0.99193,             0.99232,             0.99391,             0.77745,            0.012039,           0.0026591,          0.00013685,            0.003763,            0.003763,            0.003763
                  65,            0.019311,           0.0069195,          0.00076848,              0.9934,             0.99259,             0.99396,             0.77843,            0.012009,           0.0026533,          0.00013539,            0.003664,            0.003664,            0.003664
                  66,            0.019213,           0.0069318,          0.00088414,             0.99342,             0.99236,             0.99398,             0.77937,            0.011981,           0.0026473,          0.00013486,            0.003565,            0.003565,            0.003565
                  67,            0.019014,           0.0069002,          0.00085994,             0.99344,             0.99228,               0.994,             0.78059,            0.011952,           0.0026415,          0.00013447,            0.003466,            0.003466,            0.003466
                  68,            0.018921,           0.0068879,          0.00087277,             0.99156,             0.99408,             0.99402,             0.78116,            0.011925,           0.0026363,          0.00013413,            0.003367,            0.003367,            0.003367
                  69,            0.018912,            0.006814,          0.00077204,             0.99171,              0.9946,             0.99404,             0.78225,            0.011895,           0.0026304,          0.00013341,            0.003268,            0.003268,            0.003268
                  70,            0.018761,           0.0067876,          0.00076216,             0.99175,              0.9946,             0.99404,              0.7826,            0.011861,           0.0026244,          0.00013313,            0.003169,            0.003169,            0.003169
                  71,            0.018698,           0.0067275,          0.00074962,             0.99222,             0.99513,             0.99405,             0.78382,             0.01183,           0.0026184,          0.00013277,             0.00307,             0.00307,             0.00307
                  72,            0.018607,           0.0067622,          0.00070727,             0.99224,             0.99513,             0.99408,              0.7843,              0.0118,           0.0026121,          0.00013237,            0.002971,            0.002971,            0.002971
                  73,            0.018503,            0.006678,          0.00071644,             0.99218,             0.99509,             0.99408,             0.78544,            0.011771,            0.002606,          0.00013247,            0.002872,            0.002872,            0.002872
                  74,            0.018213,           0.0066669,          0.00073103,              0.9922,             0.99509,             0.99409,             0.78558,             0.01174,           0.0025999,          0.00013268,            0.002773,            0.002773,            0.002773
                  75,            0.018149,           0.0066067,          0.00067005,             0.99513,             0.99209,             0.99411,             0.78621,            0.011711,            0.002594,          0.00013238,            0.002674,            0.002674,            0.002674
                  76,            0.018065,           0.0065917,          0.00066772,             0.99528,             0.99206,             0.99411,             0.78675,            0.011684,           0.0025878,          0.00013168,            0.002575,            0.002575,            0.002575
                  77,            0.017879,           0.0065228,          0.00061853,             0.99558,             0.99176,             0.99413,              0.7879,            0.011654,           0.0025815,          0.00013127,            0.002476,            0.002476,            0.002476
                  78,            0.017741,           0.0065107,          0.00058656,             0.99561,             0.99176,             0.99413,             0.78892,            0.011623,           0.0025756,          0.00013087,            0.002377,            0.002377,            0.002377
                  79,            0.017591,           0.0064693,          0.00057961,             0.99566,             0.99175,             0.99415,             0.78913,            0.011592,             0.00257,          0.00013064,            0.002278,            0.002278,            0.002278
                  80,            0.017518,           0.0064131,          0.00057171,              0.9957,             0.99173,             0.99416,              0.7893,            0.011564,           0.0025645,          0.00012924,            0.002179,            0.002179,            0.002179
                  81,            0.017408,           0.0063887,           0.0005681,             0.99569,             0.99163,             0.99415,             0.78982,            0.011535,           0.0025589,          0.00012833,             0.00208,             0.00208,             0.00208
                  82,            0.017268,           0.0063622,            0.000478,             0.99556,             0.99177,             0.99416,             0.79094,            0.011503,           0.0025528,          0.00012791,            0.001981,            0.001981,            0.001981
                  83,            0.016951,           0.0062861,          0.00046395,             0.99556,             0.99204,             0.99417,             0.79146,            0.011472,           0.0025466,          0.00012728,            0.001882,            0.001882,            0.001882
                  84,            0.016915,           0.0062599,          0.00049606,             0.99547,             0.99213,             0.99417,             0.79179,            0.011442,           0.0025408,          0.00012622,            0.001783,            0.001783,            0.001783
                  85,            0.016854,           0.0062411,          0.00044702,             0.99527,             0.99219,             0.99417,             0.79288,            0.011412,            0.002535,          0.00012543,            0.001684,            0.001684,            0.001684
                  86,            0.016696,            0.006174,          0.00040378,             0.99516,             0.99227,             0.99418,             0.79384,            0.011384,           0.0025289,          0.00012475,            0.001585,            0.001585,            0.001585
                  87,            0.016632,           0.0061256,          0.00045494,             0.99516,             0.99257,             0.99419,             0.79456,            0.011355,           0.0025225,          0.00012386,            0.001486,            0.001486,            0.001486
                  88,            0.016384,           0.0060753,          0.00039356,             0.99509,              0.9926,             0.99421,               0.795,            0.011328,           0.0025167,          0.00012265,            0.001387,            0.001387,            0.001387
                  89,            0.016225,           0.0060526,          0.00038595,             0.99507,              0.9924,              0.9942,             0.79581,            0.011301,           0.0025113,          0.00012224,            0.001288,            0.001288,            0.001288
                  90,             0.01608,           0.0060196,          0.00033398,             0.99505,             0.99249,              0.9942,             0.79687,            0.011273,           0.0025056,          0.00012154,            0.001189,            0.001189,            0.001189
                  91,            0.016001,           0.0059623,          0.00031889,             0.99517,             0.99248,              0.9942,             0.79762,            0.011244,           0.0024998,           0.0001205,             0.00109,             0.00109,             0.00109
                  92,            0.015848,           0.0059529,           0.0002888,             0.99492,              0.9925,              0.9942,             0.79846,            0.011218,           0.0024942,          0.00011931,            0.000991,            0.000991,            0.000991
                  93,            0.015701,           0.0058714,          0.00031248,             0.99464,              0.9925,             0.99416,             0.79991,            0.011191,           0.0024883,          0.00011816,            0.000892,            0.000892,            0.000892
                  94,            0.015559,           0.0058568,          0.00028035,             0.99506,             0.99244,             0.99415,             0.80076,            0.011164,           0.0024825,          0.00011715,            0.000793,            0.000793,            0.000793
                  95,            0.015436,           0.0058351,          0.00026232,             0.99467,              0.9926,             0.99414,             0.80199,            0.011139,           0.0024771,          0.00011674,            0.000694,            0.000694,            0.000694
                  96,            0.015314,           0.0057554,          0.00024456,              0.9947,             0.99275,             0.99415,             0.80287,            0.011116,           0.0024717,          0.00011604,            0.000595,            0.000595,            0.000595
                  97,             0.01503,           0.0057177,          0.00023009,             0.99468,             0.99305,             0.99415,             0.80326,            0.011093,           0.0024665,          0.00011506,            0.000496,            0.000496,            0.000496
                  98,            0.014868,           0.0056905,          0.00026051,             0.99465,              0.9932,             0.99415,             0.80476,             0.01107,           0.0024612,          0.00011411,            0.000397,            0.000397,            0.000397
                  99,            0.014815,           0.0056668,          0.00023255,             0.99461,             0.99322,             0.99415,             0.80574,            0.011046,           0.0024561,          0.00011284,            0.000298,            0.000298,            0.000298
